Time Slot ID,Description,Evening time: 5pm - 9:50pm
4,MW 4 - 5:15,
5,MW 5:30 - 6:45,
6,MW 7 - 8:15pm,
7,MW 8:30 - 9:45pm,
11,WF 4 - 5:15,
12,WF 5:30 - 6:45,
13,WF 7 - 8:15pm,
14,WF 8:30 - 9:45pm,
18,MF 4 - 5:15,
19,MF 5:30 - 6:45,
20,MF 7 - 8:15pm,
21,MF 8:30 - 9:45pm,
32,MWF 5 - 5:50pm,
33,MWF 6 - 6:50pm,
34,MWF 7 - 7:50pm,
35,MWF 8 - 8:50pm,
36,MWF 9 - 9:50pm,
42,TR 4 - 5:15pm,
43,TR 5:30 - 6:45pm,
44,TR 7 - 8:15pm,
45,TR 8:30 - 9:45pm,
49,MW 5 - 6:50pm,
50,MW 6 - 7:50pm,
51,MW 7 - 8:50pm,
52,MW 8 - 9:50pm,
56,WF 5 - 6:50pm,
57,WF 6 - 7:50pm,
58,WF 7 - 8:50pm,
59,WF 8 - 9:50pm,
63,MF 5 - 6:50pm,
64,MF 6 - 7:50pm,
65,MF 7 - 8:50pm,
66,MF 8 - 9:50pm,
75,MWF 5pm - 6:05pm,
76,MWF 6:15pm - 7:20pm,
77,MWF 7:30pm - 8:35pm,
78,MWF 8:45pm - 9:50pm,
83,TR 5 - 6:50pm,
84,TR 6 - 7:50pm,
85,TR 7 - 8:50pm,
86,TR 8 - 9:50pm,
