,,TR 7 - 8:15am,TR 8:30 - 9:15am,TR 10 - 11:15am,TR 1 - 2:15pm,TR 2:30 - 3:45pm,TR 4 - 5:15pm,TR 5:30 - 6:45pm,TR 7 - 8:15pm,TR 8:30 - 9:45pm,,TR 8 - 9:50am,TR 10 - 11:50am,TR 1 - 2:50pm,TR 3 - 4:50pm,TR 5 - 6:50pm,TR 6 - 7:50pm,TR 7 - 8:50pm,TR 8 - 9:50pm
,,37,38,39,40,41,42,43,44,45,,79,80,81,82,83,84,85,86
TR 7 - 8:15am,37,X,,,,,,,,,,X,,,,,,,
TR 8:30 - 9:15am,38,,X,,,,,,,,,X,,,,,,,
TR 10 - 11:15am,39,,,X,,,,,,,,,X,,,,,,
TR 1 - 2:15pm,40,,,,X,,,,,,,,,X,,,,,
TR 2:30 - 3:45pm,41,,,,,X,,,,,,,,X,X,,,,
TR 4 - 5:15pm,42,,,,,,X,,,,,,,,X,X,,,
TR 5:30 - 6:45pm,43,,,,,,,X,,,,,,,,X,X,,
TR 7 - 8:15pm,44,,,,,,,,X,,,,,,,,X,X,
TR 8:30 - 9:45pm,45,,,,,,,,,X,,,,,,,,X,X
,,,,,,,,,,,,,,,,,,,
TR 8 - 9:50am,79,X,X,,,,,,,,,X,,,,,,,
TR 10 - 11:50am,80,,,X,,,,,,,,,X,,,,,,
TR 1 - 2:50pm,81,,,,X,X,,,,,,,,X,,,,,
TR 3 - 4:50pm,82,,,,,X,X,,,,,,,,X,,,,
TR 5 - 6:50pm,83,,,,,,X,X,,,,,,,,X,X,,
TR 6 - 7:50pm,84,,,,,,,X,X,,,,,,,X,X,X,
TR 7 - 8:50pm,85,,,,,,,,X,X,,,,,,,X,X,X
TR 8 - 9:50pm,86,,,,,,,,,X,,,,,,,,X,X
