,Teaching Day Preferences,,,,,,,,,,Preference Scale,,
Teacher ID,MW (1),WF (2),MF (3),MWF (4),TR (5),MTWR (6),TWRF (7),MTRF (8),MTWRF (9),,"Great (0), Good (1)",OK (2),Never (3)
1,1,1,1,3,0,3,3,3,3,,,,
2,2,2,2,2,0,3,3,3,3,,,,
3,1,1,1,1,1,0,2,2,3,,,,
4,1,1,1,0,1,3,3,3,3,,,,
5,2,1,1,0,2,2,2,2,2,,,,
6,0,1,1,3,1,3,3,3,3,,,,
7,1,2,2,3,0,1,2,2,3,,,,
8,3,3,3,3,0,3,3,3,3,,,,
9,0,1,1,2,0,2,2,2,3,,,,
10,3,2,2,0,3,3,3,3,3,,,,
11,1,1,1,1,1,0,2,2,2,,,,
12,1,1,1,0,1,0,2,2,1,,,,
13,2,2,2,3,0,3,3,3,3,,13 does not teach in Spring,,
14,0,1,1,3,0,3,3,3,3,,,,
15,3,3,3,3,0,3,3,3,3,,,,
16,0,1,1,2,0,2,2,2,3,,,,
17,3,3,3,3,0,3,3,3,3,,,,
18,0,1,1,1,0,2,2,2,3,,,,
19,3,3,3,3,3,1,2,2,0,,,,
20,3,3,3,0,3,3,3,3,3,,,,
