,,Preference For Time Slot Grouping,,,,,,,,Preference Scale,,
Teacher ID,Most Preferred Time,Morning (1),Afternoon (2),Evening (3),Morning or Afternoon (4),Afternoon or Evening (5),Morning or Evening (6),No Preference (0),,"Great (0), Good (1)",OK (2),Never (3)
1,4,1,1,3,0,2,2,2,,,,
2,4,1,1,3,0,2,2,2,,,,
3,4,1,1,3,0,2,2,2,,,,
4,4,1,1,3,0,2,2,2,,,,
5,5,3,1,1,2,0,2,2,,,,
6,4,1,1,3,0,2,2,2,,,,
7,4,1,1,3,0,2,2,2,,,,
8,4,1,1,3,0,2,2,2,,,,
9,4,1,1,3,0,2,2,2,,,,
10,4,1,1,3,0,2,2,2,,,,
11,5,3,1,1,2,0,2,2,,,,
12,4,1,1,3,0,2,2,2,,,,
13,3,2,2,0,3,1,1,2,,13 does not teach in Spring,,
14,0,0,0,0,0,0,0,0,,,,
15,4,1,1,3,0,2,2,2,,,,
16,5,3,1,1,2,0,2,2,,,,
17,4,1,1,3,0,2,2,2,,,,
18,4,1,1,3,0,2,2,2,,,,
19,5,3,1,1,2,0,2,2,,,,
20,1,0,3,3,2,3,3,3,,,,
