Course Section ID (CRN),Course Name,Section,Units
1,2,1,4
2,3,1,4
3,3,2,4
4,3,3,4
5,3,4,4
6,3,5,4
7,3,6,4
8,3,7,4
9,3,8,4
10,4,1,3
11,5,1,4
12,5,2,4
13,5,3,4
14,6,1,4
15,6,2,4
16,6,3,4
17,7,1,3
18,8,1,3
19,10,1,3
20,11,1,3
21,11,2,3
22,14,1,3
23,15,1,4
24,15,2,4
25,15,3,4
26,16,1,3
27,17,1,4
28,17,2,4
29,18,1,3
30,20,1,4
31,20,2,4
32,20,3,4
33,22,1,3
34,24,1,3
35,25,1,4
36,25,2,4
37,25,3,4
38,26,1,3
39,26,2,3
40,26,3,3
41,26,4,3
42,29,1,3
43,30,1,3
44,33,1,3
45,37,1,3
46,38,1,3
47,40,1,3
48,41,1,3
