Time Slot ID,Description
1,MW 11:30 - 12:45pm
2,MW 1 - 2:15
3,MW 2:30 - 3:45
4,MW 4 - 5:15
5,MW 5:30 - 6:45
6,MW 7 - 8:15pm
7,MW 8:30 - 9:45pm
8,WF 11:30 - 12:45pm
9,WF 1 - 2:15
10,WF 2:30 - 3:45
11,WF 4 - 5:15
12,WF 5:30 - 6:45
13,WF 7 - 8:15pm
14,WF 8:30 - 9:45pm
15,MF 11:30 - 12:45pm
16,MF 1 - 2:15
17,MF 2:30 - 3:45
18,MF 4 - 5:15
19,MF 5:30 - 6:45
20,MF 7 - 8:15pm
21,MF 8:30 - 9:45pm
22,MWF 7 - 7:50am
23,MWF 8 - 8:50am
24,MWF 9 - 9:50am
25,MWF 10 - 10:50am
26,MWF 11-11:50am
27,MWF 12 - 12:50pm
28,MWF 1 - 1:50pm
29,MWF 2 - 2:50pm
30,MWF 3 - 3:50pm
31,MWF 4 - 4:50
32,MWF 5 - 5:50pm
33,MWF 6 - 6:50pm
34,MWF 7 - 7:50pm
35,MWF 8 - 8:50pm
36,MWF 9 - 9:50pm
37,TR 7 - 8:15am
38,TR 8:30 - 9:15am
39,TR 10 - 11:15am
40,TR 1 - 2:15pm
41,TR 2:30 - 3:45pm
42,TR 4 - 5:15pm
43,TR 5:30 - 6:45pm
44,TR 7 - 8:15pm
45,TR 8:30 - 9:45pm
46,MW 11am - 12:50pm
47,MW 1 - 2:50pm
48,MW 3 - 4:50pm
49,MW 5 - 6:50pm
50,MW 6 - 7:50pm
51,MW 7 - 8:50pm
52,MW 8 - 9:50pm
53,WF 11am - 12:50pm
54,WF 1 - 2:50pm
55,WF 3 - 4:50pm
56,WF 5 - 6:50pm
57,WF 6 - 7:50pm
58,WF 7 - 8:50pm
59,WF 8 - 9:50pm
60,MF 11am - 12:50pm
61,MF 1 - 2:50pm
62,MF 3 - 4:50pm
63,MF 5 - 6:50pm
64,MF 6 - 7:50pm
65,MF 7 - 8:50pm
66,MF 8 - 9:50pm
67,MWF 7am - 8:05am
68,MWF 8:15am - 9:20am
69,MWF 9:30am - 10:35am
70,MWF 10:45am - 11:50am
71,MWF 12pm - 1:05pm
72,MWF 1:15pm - 2:20pm
73,MWF 2:30pm - 3:35pm
74,MWF 3:45pm - 4:50pm
75,MWF 5pm - 6:05pm
76,MWF 6:15pm - 7:20pm
77,MWF 7:30pm - 8:35pm
78,MWF 8:45pm - 9:50pm
79,TR 8 - 9:50am
80,TR 10 - 11:50am
81,TR 1 - 2:50pm
82,TR 3 - 4:50pm
83,TR 5 - 6:50pm
84,TR 6 - 7:50pm
85,TR 7 - 8:50pm
86,TR 8 - 9:50pm
